id	role_id	lane	title	org	location	site	url	posted	first_seen	salary	level	status	friction	also_lanes
JM-PB-hhn-he	electrician	ME	Touring Head Electrician/TD	The Hip Hop Nutcracker	New York, NY (touring)	PB	https://playbill.com/job/touring-head-electrician-td/2dfa1887-8c9b-4890-8f9d-730247e1a073	2026-07-27	2026-07-31	$1,400/wk	mid	live	email	technical-director
JM-LCTJ-cot-ls	electrician	ME	Lighting Supervisor	Chicago Opera Theater	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/chicago-opera-theater-chicago-full-time-lighting-supervisor/	2026-07-01	2026-07-31		contract	live	gated	
JM-PB-wishstar-ldhe	electrician	ME	Lighting Director/Head Electrician - National Tour	Wishing Star Productions	Dallas, TX	PB	https://playbill.com/job/lighting-director-head-electrician-national-tour/c5d998ec-ff7b-4978-8518-42dcd3a22416	2026-07-07	2026-07-31		mid	live	email	
JM-TSJ-cabaret-hol	electrician	ME	Head of Lighting - CABARET at Kit Kat Club	ATG Productions	London, UK	TSJ	https://jobs.thestage.co.uk/career/31752/head-lighting-cabaret-at-the-kit-kat-club	2026-07-31	2026-07-31	£1,135/wk (£59,024/yr)	senior	live	direct	
JM-TSJ-eno-slt	electrician	ME	Senior Lighting Technician	English National Opera	London, UK	TSJ	https://jobs.thestage.co.uk/career/31716/senior-lighting-technician	2026-07-31	2026-07-31	£1,015/wk	senior	live	direct	
JM-OSJ-btg-he	electrician	ME	House Electrician	Berkshire Theatre Group	Pittsfield, MA	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72400	2026-07-25	2026-08-02	$750-800/wk	mid	live	direct	
JM-LCTJ-writers-ls	electrician	ME	Lighting Supervisor	Writers Theatre	Glencoe, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/writers-theatre-chicago-full-time-lighting-supervisor/	2026-07-31	2026-08-02		mid	live	gated	
JM-PB-actco-tls	electrician	ME	Touring Lighting Supervisor	The Acting Company	New York, NY	PB	https://playbill.com/job/touring-lighting-supervisor/d03ca526-55dd-4dfd-ae75-5dfa50902d1b	2026-06-29	2026-08-02		mid	live	email	
JM-OSJ-ogunquit-ses	electrician	ME	Scenic Electrics Technician	Ogunquit Playhouse	Ogunquit, ME	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72405	2026-08-04	2026-08-04	$22/hr	contract	live	email	
JM-OSJ-mrt-lss	electrician	ME	Lighting and Sound Supervisor	Merrimack Repertory Theatre	Lowell, MA	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72264	2026-06-18	2026-08-04	$35,000	mid	live	email	audio-sound
JM-PB-mtnco-lbo	electrician	ME	Light Board Operator/Lighting Assistant	Mountain Theatre Company	Mountain Theatre Company	PB	https://playbill.com/job/immediately-seeking-a-light-board-operator-lighting-assistant-for-showstoppers-at-mountain-theatre-company-contract-dates-7-26-9-1/22dd6331-d702-4009-a72c-d0bcc26e71fb	2026-07-17	2026-08-04		contract	live	email	
