id	role_id	lane	title	org	location	site	url	posted	first_seen	salary	level	status	friction	also_lanes	accessibility	requirements
JM-LCTJ-wit-as	audio-sound	AUD	Audio Supervisor	Theater Wit	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/theater-wit-chicago-contract-part-time-audio-supervisor/	2026-07-28	2026-08-03	$50,000-70,000 (recovered 09-09 via mediabistro cross-post)	contract	live	direct			
JM-TSJ-oxford-st	audio-sound	AUD	Senior Technician (Sound)	University of Oxford	Oxford, UK	TSJ	https://jobs.thestage.co.uk/career/31708/senior-technician-sound-radcliffe-observatory-quarter-woodstock-road-oxford-ox2-6gg	2026-07-28	2026-08-03	£39,424-47,779	senior	gone	direct			
JM-IND-zach-aud	audio-sound	AUD	Resident Sound Designer & Manager of Audio	Zachary Scott Theater Center	Austin, TX	PAYLOCITY	https://recruiting.paylocity.com/Recruiting/Jobs/Details/4222851	2026-07-21	2026-08-04	$60,000-65,000	senior	live	direct			
JM-PB-theatercenter-a1	audio-sound	AUD	A1 Audio Engineer	Theater Center (Jerry Orbach Theater)	New York, NY	PB	https://playbill.com/job/ai-audio-engineer-needed-for-the-theater-center/d764c1ea-1aba-4b59-aa1b-a0840c8ef130	2026-08-02	2026-08-04		contract	live	email			
JM-OSJ-scr-svs	audio-sound	AUD	Sound + Video Supervisor	South Coast Repertory	Costa Mesa, CA	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72348	2026-07-16	2026-08-04	$70,304-75,760	mid	live	email			
JM-OSJ-riverside-ss	audio-sound	AUD	Sound Supervisor	Riverside Theatre	Vero Beach, FL	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72340	2026-07-15	2026-08-04	$62,000	mid	live	email			
JM-OSJ-phoenixtc-ae	audio-sound	AUD	Audio Engineer - Staff Position	The Phoenix Theatre Company	Phoenix, AZ	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72366	2026-07-20	2026-08-04	$45,000-50,000	mid	live	email			
JM-OSJ-networks-gatsby-ha	audio-sound	AUD	Head Audio - The Great Gatsby National Tour	NETworks Presentations	Columbia, MD	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72396	2026-07-23	2026-08-04	$1,600/wk	mid	live	email			
JM-OSJ-hhn-avt	audio-sound	AUD	Touring Audio/Video Technician	MEP / The Hip Hop Nutcracker	New York, NY	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72439	2026-07-30	2026-08-04	$1,200/wk	mid	live	email			"5+ years of experience in theatrical audio and video, or equivalent"; "Experience supervising local crews, including IATSE house crews"; "Proficiency with QLab for audio and video playback, including MIDI triggering and cue management"
JM-OSJ-darkstar-ae	audio-sound	AUD	Audio Engineer	Dark Star Productions	Hinesburg, VT	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72265	2026-07-01	2026-08-04	$28-35/hr	mid	live	email			
